days,feature,reliability_icc,n_subjects,cohen_d
2,mesor,0.1827986130858916,55.0,0.3593683341566636
2,amplitude,0.0180900016062171,55.0,0.16231731335909455
2,acrophase,0.3397986794574747,55.0,0.6982579049626388
3,mesor,0.35567063628306866,55.0,0.3453940116597271
3,amplitude,0.3856525938423795,55.0,0.03909788252618917
3,acrophase,0.5217025620791372,55.0,0.5417974705077168
5,mesor,0.8049968281032439,51.0,0.16906856321089456
5,amplitude,0.8016316199691399,51.0,0.06110178636797685
5,acrophase,0.17376881088631949,51.0,0.39329599801738774
7,mesor,0.11752283879094122,16.0,0.18599324907233267
7,amplitude,0.13281760225342593,16.0,0.0006625626564132132
7,acrophase,-0.021205565459972684,16.0,0.6675172772381208
2,is,0.04865212387457999,,0.28233257871025785
2,iv,0.0590824611084143,,0.007541035556108704
2,ra,-0.006765316701427509,,0.16419858729562561
3,is,0.1536200809389208,,0.019221511194536862
3,iv,0.23562840049961006,,0.11217258868700056
3,ra,0.2784228007223698,,0.2779703511822393
5,is,0.6898968110611818,,0.25409672912618714
5,iv,0.5573212756370607,,0.28107430401168776
5,ra,0.6133616055249443,,0.13117161348835757
7,is,0.3772478292918665,,0.11743313395675321
7,iv,0.03989233047702373,,0.18130495465334873
7,ra,-0.13458046394681583,,0.08240378797069864
